👁︵👁,#genre#
http://diyp6.112114.xyz
https://epg.mxdyeah.top/api/diyp/
http://iptvapi.92e.cn/epg/epg.php
CCTV12,http://39.134.62.81:6610/000000001000/1000000001000032494/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3$ITV v4网
CCTV12,http://39.134.65.166/PLTV/88888888/224/3221225669/1.m3u8$鸡西移动
CCTV12,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3$ITV域名
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8$黑移域名
CCTV13,http://39.134.62.81:6610/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3$ITV v4网
CCTV13,http://39.134.65.215/PLTV/88888888/224/3221226077/1.m3u8$鸡西移动
CCTV13,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3$ITV域名
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8$黑移域名
CCTV14,http://39.134.62.81:6610/000000001000/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3$ITV v4网
CCTV14,http://39.134.66.110/PLTV/88888888/224/3221225674/1.m3u8$鸡西移动
CCTV14,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3$ITV域名
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8$黑移域名
CCTV15,http://39.134.62.81:6610/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=3$ITV v4网
CCTV15,http://39.134.65.166/PLTV/88888888/224/3221226127/1.m3u8$鸡西移动
CCTV15,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=3$ITV域名
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8$黑移域名
CCTV16,http://39.134.62.81:6610/000000001000/5000000008000023254/1.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3$ITV v4网
CCTV16,http://39.134.65.208/PLTV/88888888/224/3221225893/1.m3u8$鸡西移动
CCTV16,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3$ITV域名
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$黑移域名
CCTV17,http://39.134.62.81:6610/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=3$ITV v4网
CCTV17,http://39.134.65.149/PLTV/88888888/224/3221225708/1.m3u8$鸡西移动
CCTV17,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=3$ITV域名
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$黑移域名
安徽卫视,http://39.134.62.81:6610/000000001000/1000000001000030159/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030159&livemode=1&stbId=3$ITV v4网
安徽卫视,http://39.134.65.149/PLTV/88888888/224/3221225925/1.m3u8$鸡西移动
